,Baseline_(BayCon),Baseline_(DiCE),Baycon___KMeans,Baycon___Model_Agnostic,CFAE,CFDE,GradCF_(eps=0),GradCF_(eps=0)_(sparsity_fixed),GradCF_(eps=0.1),GradCF_(eps=0.1)_(sparsity_fixed),GradCF_(eps=0.25),GradCF_(eps=0.25)_(sparsity_fixed),GradCF_(eps=0.5),GradCF_(eps=0.5)_(sparsity_fixed),GradCF_(eps=0.75),GradCF_(eps=0.75)_(sparsity_fixed),GradCF_(eps=1),GradCF_(eps=1)_(sparsity_fixed),NeighborSearch,TGCF_DTC,TGCF_DTC',TGCF_DTC_Fidelity,TGCF_DTC_Fidelity',TGCF_IMM,TGCF_IMM',dice_mod_random
Similarity,1.47 ± 0.77,2.69 ± 1.03,1.84 ± 0.92,1.57 ± 0.73,1.56 ± 0.75,1.84 ± 0.86,2.52 ± 0.80,2.46 ± 0.84,2.65 ± 0.78,2.60 ± 0.82,2.78 ± 0.73,2.73 ± 0.78,2.96 ± 0.75,2.92 ± 0.78,3.07 ± 0.71,3.04 ± 0.74,3.07 ± 0.68,3.04 ± 0.71,2.38 ± 0.97,2.10 ± 1.57,2.04 ± 1.05,2.17 ± 0.93,2.59 ± 0.86,0.34 ± 0.15,0.34 ± 0.15,2.16 ± 0.89
Sparsity,0.57 ± 0.18,0.55 ± 0.11,0.48 ± 0.17,0.50 ± 0.16,0.21 ± 0.23,0.46 ± 0.09,0.00 ± 0.00,0.26 ± 0.26,0.00 ± 0.00,0.23 ± 0.24,0.00 ± 0.00,0.24 ± 0.25,0.00 ± 0.00,0.20 ± 0.23,0.00 ± 0.00,0.17 ± 0.22,0.00 ± 0.00,0.18 ± 0.22,0.45 ± 0.25,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.75 ± 0.00,0.75 ± 0.00,0.00 ± 0.00
Plausibility,-1.06 ± 0.14,-1.81 ± 0.77,-1.06 ± 0.13,-1.04 ± 0.12,-1.39 ± 0.46,-1.79 ± 0.83,-1.04 ± 0.06,-1.11 ± 0.19,-1.02 ± 0.06,-1.07 ± 0.13,-0.99 ± 0.03,-1.06 ± 0.15,-0.98 ± 0.02,-1.01 ± 0.12,-0.97 ± 0.02,-0.98 ± 0.04,-0.97 ± 0.02,-0.98 ± 0.04,-1.28 ± 0.48,-0.99 ± 0.00,-1.33 ± 0.57,-1.32 ± 0.45,-1.30 ± 0.49,-1.00 ± 0.01,-1.00 ± 0.01,-1.05 ± 0.07
Validity,0.40 ± 0.37,0.58 ± 0.33,0.51 ± 0.35,0.36 ± 0.29,1.00 ± 0.00,1.00 ± 0.00,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,1.00 ± 0.00,0.14 ± 0.33,0.37 ± 0.46,0.69 ± 0.35,0.83 ± 0.24,0.05 ± 0.22,0.05 ± 0.22,1.00 ± 0.00
Diversity,0.16 ± 0.32,0.32 ± 0.41,0.02 ± 0.11,0.09 ± 0.24,0.00 ± 0.00,0.00 ± 0.00,1.07 ± 0.02,1.08 ± 0.01,1.08 ± 0.02,1.07 ± 0.02,1.07 ± 0.01,1.08 ± 0.01,1.08 ± 0.02,1.07 ± 0.01,1.07 ± 0.01,1.07 ± 0.01,1.07 ± 0.01,1.08 ± 0.01,0.00 ± 0.00,1.08 ± 0.02,1.07 ± 0.02,0.96 ± 0.20,0.96 ± 0.19,1.08 ± 0.02,1.08 ± 0.02,0.00 ± 0.00
Invalidation,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.01 ± 0.05,0.00 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00
Correction,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,nan ± nan,nan ± nan,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,nan ± nan,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,nan ± nan
Runtime,6.45 ± 2.54,38.97 ± 64.45,13.55 ± 9.79,7.19 ± 2.50,0.01 ± 0.00,0.03 ± 0.02,0.25 ± 0.54,0.25 ± 0.54,0.19 ± 0.04,0.19 ± 0.04,0.19 ± 0.04,0.19 ± 0.04,0.19 ± 0.03,0.19 ± 0.03,0.24 ± 0.14,0.24 ± 0.14,0.39 ± 0.16,0.39 ± 0.16,0.03 ± 0.01,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.37 ± 0.05
PercentExplained,0.74,0.96,0.80,0.81,1.00,1.00,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,1.00,0.15,0.42,0.87,1.00,0.05,0.05,1.00
# Valid CFs,31.36 ± 44.70,5.84 ± 3.35,81.78 ± 82.75,77.50 ± 111.49,20.00 ± 0.00,20.00 ± 0.00,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,0.93 ± 0.26,15.00 ± 0.00,0.25 ± 0.62,0.54 ± 0.70,1.23 ± 0.69,1.71 ± 0.78,0.05 ± 0.22,0.05 ± 0.22,10.00 ± 0.00
